,예측_1분기후,예측_2분기후,예측_3분기후,예측_4분기후,예측평균
강남대로,3.236031294032515,2.559053305483003,2.5347853424628877,2.101943378604481,2.6079533301457216
신사역,2.3289668584893772,2.392009722591235,2.1432295578032456,2.8071216833976984,2.417831955570389
천호,1.943969252463804,2.4874460516638526,2.5410836240105783,2.549999283460307,2.3806245528996355
시청,2.4192478431824913,2.861435450856477,2.4212737852107025,1.7298009187509866,2.357939499500165
숙명여대,2.2867399164079356,2.3056480063064324,1.7565809139817614,2.7013124354408617,2.2625703180342476
테헤란로,2.0586890281669845,2.2284676160060184,2.3462116394917905,2.4002517492166304,2.2584050082203557
도산대로,1.1649838770061012,1.4548423064832894,2.3733117373546135,3.074411189450934,2.0168872775737348
광화문,2.645254679523864,2.5577796426335717,1.7359720871619113,1.09197699116517,2.0077458501211294
을지로,1.950075527082318,2.134868603420495,2.03964607444372,1.3371347784136844,1.8654312458400544
용산역,2.0264701865865526,2.6275374317947846,1.6068612478656379,1.1215680612848162,1.8456092318829478
교대역,1.88170244316501,1.7352970075734115,1.7408216636529754,1.8135277426074095,1.7928372142497015
동대문,2.097727795198159,2.142239512046486,1.5260105509694986,1.0921383266684483,1.7145290462206482
잠실새내역,1.7951803796978494,1.9408356951419663,1.3456771396014744,1.52330612345699,1.65124983447457
논현역,1.4067576750044994,1.6750850586573653,1.660159200610594,1.662283510143724,1.6010713611040457
당산역,1.923177505567327,1.9816578727151328,1.2206764939149157,1.278519129956497,1.601007750538468
영등포,1.9506383649479406,1.5928435557505707,1.309320003016225,1.4404394725412144,1.5733103490639877
종로,1.4830166246940304,1.6194348674183772,1.5279081992703054,1.6427370664149712,1.5682741894494212
서초,1.2966604432584978,1.0722317613602579,1.3857305605600483,2.490073593895227,1.5611740897685076
남부터미널,1.3579520854530611,1.4571693636466783,1.6447474108076754,1.710435937509186,1.5425761993541502
장안동,1.2668778409711903,1.6087738494890698,1.542762543265856,1.4951121216505359,1.478381588844163
잠실,1.4124777014012204,1.3189921342536077,1.4452767392051877,1.7339103781575729,1.4776642382543972
공덕역,1.7260275408544163,1.786758403548223,1.1375445494522678,1.2480156815010692,1.4745865438389942
여의도,1.8375934445509967,1.9966284171883955,0.9463267673159095,0.9012849794597471,1.4204584021287623
영등포역,2.2244848818919816,1.1967266291415797,0.6201000199820316,1.3041079645900806,1.3363548739014184
홍대/합정,1.6696461275512975,1.6147287361870506,0.9395291988216294,1.0884525303461747,1.328089148226538
남대문,2.1830994134776955,1.8334424878259288,0.6813118642525468,0.5721341365935568,1.317496975537432
사당,1.4770224766450724,1.3519000015567157,1.136240286320541,1.0595061901208804,1.2561672386608023
화곡,0.9174919739223674,1.116290095547989,1.3529534685567997,1.4288421476263806,1.2038944214133842
용산,1.245700322025439,1.0619406396510862,1.042021592428967,1.1552926701771344,1.1262388060706567
부산역,1.2511459900115778,1.432257425895644,0.9723624207211194,0.7392253578793899,1.098747798626933
목동,1.0558257660248025,1.0881456750232175,1.0127319640554908,1.121090576150394,1.0694484953134762
명동,1.0601849691036969,1.0746224719839066,1.0710110845484309,0.9491096176834098,1.038732035829861
충무로,0.9900500989687366,0.915794751403086,0.7562233813108654,0.8804202032872378,0.8856221087424814
남포동,0.1527269728768548,0.4013015569791301,0.31977772686561623,0.11734220417176004,0.2477871152233403
